"datum";"uur";"x";"y";"bever"
"20/03/2018";"21:35";4,70804527401924;50,9808578237316;"BE1008"
"22/03/2018";"21:44";4,69718433916569;50,9871071527854;"BE1008"
"24/03/2018";"11:45";4,65910937637091;50,9890612673923;"BE1008"
"28/03/2018";"21:11";4,6854222;50,9799863;"BE1008"
"28/03/2018";"21:25";4,6866775;50,9795607;"BE1008"
"29/03/2018";"01:35";4,6923852;50,9853155;"BE1008"
"03/04/2018";"16:15";4,6922243;50,9852614;"BE1008"
"10/04/2018";"11:11";4,6923101;50,9852614;"BE1008"
"20/04/2018";"00:17";4,6922645;50,985226;"BE1008"
"24/04/2018";"06:00";4,69210255891085;50,9853532548495;"BE1008"
"26/04/2018";"8:55";4,6924352;50,985326;"BE1008"
"26/04/2018";"22:28";4,6922243;50,9852614;"BE1008"
"01/05/2018";"08:02";4,6924415;50,9853013;"BE1008"
"02/05/2018";"19:26";4,692471;50,9853138;"BE1008"
"17/05/2018";"10:11";4,6924617;50,9853231;"BE1008"
"23/05/2018";"06:00";4,6924455;50,9852952;"BE1008"
