"datum";"uur";"x";"y";"bever"
"14/03/2018";"20:15";4,54489756375551;51,0021588235034;"BE1009"
"19/03/2018";"06:50";4,54360742121935;51,0034913937453;"BE1009"
"23/03/2018";"6:40";4,54359769821167;51,0034897059034;"BE1009"
"28/03/2018";"06:46";4,54373247921467;51,0032821008895;"BE1009"
"28/03/2018";"NA:NA";4,538877;51,0045942;"BE1009"
"29/03/2018";"02:55";4,536978;51,0050398;"BE1009"
"03/04/2018";"11:35";4,5435977;51,0034897;"BE1009"
"13/04/2018";"23:35";4,554756693542;51,0025054726757;"BE1009"
"19/04/2018";"22:54";4,525525;51,00961;"BE1009"
"20/04/2018";"01:18";4,5314097;51,0079089;"BE1009"
"26/04/2018";"10:45";4,54408586025238;51,0030065586538;"BE1009"
"26/04/2018";"18:14";4,5437801;51,0028996;"BE1009"
"26/04/2018";"23:42";4,5612037;51,0008674;"BE1009"
"01/05/2018";"09:30";4,55011311918497;51,0044589389691;"BE1009"
"02/05/2018";"15:26";4,5438284;51,0034465;"BE1009"
"02/05/2018";"20:20";4,5436138;51,0034633;"BE1009"
"02/05/2018";"21:45";4,5466232;51,002454;"BE1009"
"05/05/2018";"05:45";4,55012686550617;51,0044114693842;"BE1009"
"07/05/2018";"16:39";4,5437855;51,003411;"BE1009"
"08/05/2018";"22:40";4,5438981;51,0027916;"BE1009"
"09/05/2018";"00:27";4,5296288;51,0087055;"BE1009"
"14/05/2018";"13:00";4,5437325;51,0032821;"BE1009"
"17/05/2018";"04:28";4,5393813;51,0043714;"BE1009"
"17/05/2018";"12:50";4,5437385;51,0032633;"BE1009"
"23/05/2 8 ";"03:48";4,5420152;51,0027983;"BE1009"
"24/05/2018";"04:18";4,5393384;51,0043444;"BE1009"
"31/05/2018";"04:06";4,5317262;51,0078515;"BE1009"
"31/05/2018";"12:46";4,5438069;51,0032473;"BE1009"
"04/06/2018";"23:37";4,5514941;51,00346;"BE1009"
"05/06/2018";"00:24";4,5517248;51,003568;"BE1009"
"05/06/2018";"03:21";4,5391613;51,0045503;"BE1009"
"14/06/2018";"10:23";4,5434113;51,0034768;"BE1009"
"19/06/2018";"06:45";4,54356953501701;51,0034873851208;"BE1009"
"25/06/2018";"14:30";4,54359669238329;51,0034213482576;"BE1009"
"28/06/2018";"05:12";4,5399982;51,0040541;"BE1009"
"09/07/2018";"06:10";4,54402316361666;51,0031348357941;"BE1009"
"17/07/2018";"06:50";4,5433697104454;51,0034673419933;"BE1009"
"01/08/2018";"09:40";4,5437533;51,0032625;"BE1009"
"09/08/2018";"08:00";4,5437452;51,0032372;"BE1009"
"16/08/2018";"06:40";4,54365871846676;51,0034160737436;"BE1009"
