"","id","latitude","longitude"
"1",183,51.208099,5.562506
"2",185,51.207778,5.561377
"3",191,51.206338,5.558118
"4",401,50.908786,5.435878
"5",402,50.908336,5.432302
"6",403,50.908542,5.44426
"7",438,51.023957,5.750491
"8",588,50.917782,5.439082
"9",589,50.916976,5.435943
"10",590,50.916237,5.436743
"11",734,50.760775,5.177374
"12",1745,51.103333,5.284909
"13",1752,51.100441,5.265251
"14",1764,51.158632,5.284406
"15",1765,51.158604,5.284151
"16",1766,51.158745,5.283477
"17",1767,51.160256,5.286961
"18",1768,51.159885,5.287992
"19",1769,51.159276,5.289271
"20",1770,51.159096,5.289042
"21",1771,51.158749,5.289202
"22",1772,51.158675,5.28914
"23",1773,51.15854,5.289109
"24",1774,51.159733,5.288453
"25",1775,51.159899,5.288658
"26",1304,51.158127,5.333032
"27",1305,51.15772,5.335383
"28",1306,51.15871,5.333819
"29",1307,51.15843,5.333351
"30",1308,51.158854,5.332402
"31",1309,51.158148,5.332996
"32",1360,50.963349,5.17547
"33",1692,51.146245,5.258024
"34",1693,51.124341,5.263576
"35",1694,51.123816,5.267495
"36",1695,51.123893,5.268982
"37",1696,51.124217,5.269401
"38",1699,51.123816,5.263464
"39",1701,51.126253,5.258894
"40",1702,51.126382,5.258965
"41",1711,51.12943,5.242444
"42",1776,51.160308,5.288778
"43",1777,51.160546,5.288877
"44",1778,51.159359,5.285077
"45",1779,51.159149,5.285057
"46",1780,51.159114,5.284978
"47",1811,51.226026,5.346099
"48",1828,51.234279,5.377553
"49",1843,51.159824,5.288412
"50",1846,51.158411,5.286444
"51",1848,51.158957,5.282807
"52",1854,51.158359,5.26149
