Station Name:	Destelbergen SF/Zeeschelde
Station Number:	zes57n-SF-CM
River:	Zeeschelde
Operator:	 -
Easting:	109591
Northing:	192793
Datum:	0.000
Parameter Name:	Cond
Parameter Type:	Cond
Time series Name:	Destelbergen SF/Zeeschelde / Cond / zes57n-SF.Cond.5
Time series Unit:	µS/cm
Time level:	High-resolution
Time series Type:	Instantaneous value
Time series equidistant:	yes
Time series value distance:	5 Minute(s)
Time series quality:	2
Time series measuring system:	---
Date	Time	Cond [µS/cm]	Quality flag	Comments
01/04/2015	05:55:00	598.004	 G	
01/04/2015	06:00:00	598.993	 G	
01/04/2015	06:05:00	597.004	 G	
01/04/2015	06:10:00	598.000	 G	
01/04/2015	06:15:00	598.004	 G	
01/04/2015	06:20:00	599.000	 G	
01/04/2015	06:25:00	599.000	 G	
01/04/2015	06:30:00	599.004	 G	
01/04/2015	06:35:00	600.004	 G	
01/04/2015	06:40:00	601.000	 G	
01/04/2015	06:45:00	601.004	 G	
01/04/2015	06:50:00	602.000	 G	
01/04/2015	06:55:00	602.000	 G	
01/04/2015	07:00:00	601.996	 G	
01/04/2015	07:05:00	601.007	 G	
01/04/2015	07:10:00	603.000	 G	
01/04/2015	07:15:00	603.000	 G	
01/04/2015	07:20:00	603.004	 G	
01/04/2015	07:25:00	604.000	 G	
01/04/2015	07:30:00	604.000	 G	
01/04/2015	07:35:00	604.000	 G	
01/04/2015	07:40:00	604.000	 G	
01/04/2015	07:45:00	604.000	 G	
01/04/2015	07:50:00	604.000	 G	
01/04/2015	07:55:00	604.000	 G	
01/04/2015	08:00:00	604.000	 G	
01/04/2015	08:05:00	604.000	 G	
01/04/2015	08:10:00	604.000	 G	
01/04/2015	08:15:00	604.000	 G	
01/04/2015	08:20:00	604.004	 G	
01/04/2015	08:25:00	604.996	 G	
01/04/2015	08:30:00	604.000	 G	
01/04/2015	08:35:00	604.000	 G	
01/04/2015	08:40:00	604.000	 G	
01/04/2015	08:45:00	604.004	 G	
01/04/2015	08:50:00	605.000	 G	
01/04/2015	08:55:00	605.004	 G	
01/04/2015	09:00:00	606.000	 G	
01/04/2015	09:05:00	606.004	 G	
01/04/2015	09:10:00	607.004	 G	
01/04/2015	09:15:00	608.004	 G	
01/04/2015	09:20:00	609.004	 G	
01/04/2015	09:25:00	610.000	 G	
01/04/2015	09:30:00	610.000	 G	
01/04/2015	09:35:00	610.007	 G	
01/04/2015	09:40:00	612.004	 G	
01/04/2015	09:45:00	613.000	 G	
01/04/2015	09:50:00	613.004	 G	
01/04/2015	09:55:00	614.007	 G	
01/04/2015	10:00:00	615.996	 G	
01/04/2015	10:05:00	615.004	 G	
01/04/2015	10:10:00	616.007	 G	
01/04/2015	10:15:00	618.000	 G	
01/04/2015	10:20:00	618.011	 G	
01/04/2015	10:25:00	621.007	 G	
01/04/2015	10:30:00	622.993	 G	
01/04/2015	10:35:00	621.011	 G	
01/04/2015	10:40:00	624.007	 G	
01/04/2015	10:45:00	626.004	 G	
01/04/2015	10:50:00	627.011	 G	
01/04/2015	10:55:00	629.996	 G	
01/04/2015	11:00:00	629.007	 G	
01/04/2015	11:05:00	631.011	 G	
01/04/2015	11:10:00	633.996	 G	
01/04/2015	11:15:00	633.004	 G	
01/04/2015	11:20:00	634.014	 G	
01/04/2015	11:25:00	637.996	 G	
01/04/2015	11:30:00	637.011	 G	
01/04/2015	11:35:00	640.018	 G	
01/04/2015	11:40:00	645.000	 G	
01/04/2015	11:45:00	645.007	 G	
01/04/2015	11:50:00	647.011	 G	
01/04/2015	11:55:00	649.993	 G	
01/04/2015	12:00:00	648.000	 G	
01/04/2015	12:05:00	648.014	 G	
01/04/2015	12:10:00	652.000	 G	
01/04/2015	12:15:00	652.004	 G	
01/04/2015	12:20:00	653.000	 G	
01/04/2015	12:25:00	652.996	 G	
01/04/2015	12:30:00	652.007	 G	
01/04/2015	12:35:00	654.000	 G	
01/04/2015	12:40:00	654.007	 G	
01/04/2015	12:45:00	656.004	 G	
01/04/2015	12:50:00	657.000	 G	
01/04/2015	12:55:00	657.000	 G	
01/04/2015	13:00:00	657.004	 G	
01/04/2015	13:05:00	658.000	 G	
01/04/2015	13:10:00	658.000	 G	
01/04/2015	13:15:00	658.007	 G	
01/04/2015	13:20:00	659.993	 G	
01/04/2015	13:25:00	657.982	 G	
01/04/2015	13:30:00	652.982	 G	
01/04/2015	13:35:00	648.014	 G	
01/04/2015	13:40:00	651.939	 G	
01/04/2015	13:45:00	634.924	 G	
01/04/2015	13:50:00	614.000	 G	
01/04/2015	13:55:00	613.989	 G	
01/04/2015	14:00:00	611.072	 G	
01/04/2015	14:05:00	631.036	 G	
01/04/2015	14:10:00	641.004	 G	
01/04/2015	14:15:00	641.993	 G	
01/04/2015	14:20:00	639.996	 G	
01/04/2015	14:25:00	638.982	 G	
01/04/2015	14:30:00	633.982	 G	
01/04/2015	14:35:00	628.986	 G	
01/04/2015	14:40:00	624.982	 G	
01/04/2015	14:45:00	619.996	 G	
01/04/2015	14:50:00	619.000	 G	
01/04/2015	14:55:00	619.000	 G	
01/04/2015	15:00:00	618.996	 G	
01/04/2015	15:05:00	617.989	 G	
01/04/2015	15:10:00	614.986	 G	
01/04/2015	15:15:00	610.993	 G	
01/04/2015	15:20:00	608.993	 G	
01/04/2015	15:25:00	606.993	 G	
01/04/2015	15:30:00	604.993	 G	
01/04/2015	15:35:00	602.993	 G	
01/04/2015	15:40:00	600.996	 G	
01/04/2015	15:45:00	599.978	 G	
01/04/2015	15:50:00	593.993	 G	
01/04/2015	15:55:00	591.989	 G	
01/04/2015	16:00:00	588.996	 G	
01/04/2015	16:05:00	588.004	 G	
01/04/2015	16:10:00	588.989	 G	
01/04/2015	16:15:00	585.996	 G	
01/04/2015	16:20:00	585.000	 G	
01/04/2015	16:25:00	584.996	 G	
01/04/2015	16:30:00	584.000	 G	
