Station Name:	Destelbergen SF/Zeeschelde
Station Number:	zes57n-SF-CM
River:	Zeeschelde
Operator:	 -
Easting:	109591
Northing:	192793
Datum:	0.000
Parameter Name:	Cond
Parameter Type:	Cond
Time series Name:	Destelbergen SF/Zeeschelde / Cond / zes57n-SF.Cond.5
Time series Unit:	µS/cm
Time level:	High-resolution
Time series Type:	Instantaneous value
Time series equidistant:	yes
Time series value distance:	5 Minute(s)
Time series quality:	2
Time series measuring system:	---
Date	Time	Cond [µS/cm]	Quality flag	Comments
01/04/2015	00:00:00	631.996	 G	
01/04/2015	00:05:00	631.007	 G	
01/04/2015	00:10:00	632.993	 G	
01/04/2015	00:15:00	631.004	 G	
01/04/2015	00:20:00	631.996	 G	
01/04/2015	00:25:00	631.004	 G	
01/04/2015	00:30:00	632.000	 G	
01/04/2015	00:35:00	632.000	 G	
01/04/2015	00:40:00	632.004	 G	
01/04/2015	00:45:00	633.000	 G	
01/04/2015	00:50:00	633.000	 G	
01/04/2015	00:55:00	633.004	 G	
01/04/2015	01:00:00	634.000	 G	
01/04/2015	01:05:00	633.986	 G	
01/04/2015	01:10:00	629.978	 G	
01/04/2015	01:15:00	623.975	 G	
01/04/2015	01:20:00	616.975	 G	
01/04/2015	01:25:00	609.961	 G	
01/04/2015	01:30:00	598.982	 G	
01/04/2015	01:35:00	593.993	 G	
01/04/2015	01:40:00	592.011	 G	
01/04/2015	01:45:00	595.014	 G	
01/04/2015	01:50:00	599.018	 G	
01/04/2015	01:55:00	604.036	 G	
01/04/2015	02:00:00	614.022	 G	
01/04/2015	02:05:00	620.004	 G	
01/04/2015	02:10:00	621.000	 G	
01/04/2015	02:15:00	620.993	 G	
01/04/2015	02:20:00	618.993	 G	
01/04/2015	02:25:00	616.986	 G	
01/04/2015	02:30:00	612.996	 G	
01/04/2015	02:35:00	611.996	 G	
01/04/2015	02:40:00	610.996	 G	
01/04/2015	02:45:00	609.996	 G	
01/04/2015	02:50:00	609.000	 G	
01/04/2015	02:55:00	608.993	 G	
01/04/2015	03:00:00	606.989	 G	
01/04/2015	03:05:00	603.986	 G	
01/04/2015	03:10:00	599.989	 G	
01/04/2015	03:15:00	596.982	 G	
01/04/2015	03:20:00	591.971	 G	
01/04/2015	03:25:00	583.975	 G	
01/04/2015	03:30:00	576.978	 G	
01/04/2015	03:35:00	570.989	 G	
01/04/2015	03:40:00	568.007	 G	
01/04/2015	03:45:00	569.986	 G	
01/04/2015	03:50:00	565.993	 G	
01/04/2015	03:55:00	564.004	 G	
01/04/2015	04:00:00	564.993	 G	
01/04/2015	04:05:00	563.000	 G	
01/04/2015	04:10:00	563.000	 G	
01/04/2015	04:15:00	562.996	 G	
01/04/2015	04:20:00	562.004	 G	
01/04/2015	04:25:00	563.000	 G	
01/04/2015	04:30:00	563.004	 G	
01/04/2015	04:35:00	564.007	 G	
01/04/2015	04:40:00	566.000	 G	
01/04/2015	04:45:00	566.007	 G	
01/04/2015	04:50:00	568.011	 G	
01/04/2015	04:55:00	571.014	 G	
01/04/2015	05:00:00	575.014	 G	
01/04/2015	05:05:00	579.014	 G	
01/04/2015	05:10:00	583.007	 G	
01/04/2015	05:15:00	585.018	 G	
01/04/2015	05:20:00	590.000	 G	
01/04/2015	05:25:00	590.014	 G	
01/04/2015	05:30:00	594.000	 G	
01/04/2015	05:35:00	594.004	 G	
01/04/2015	05:40:00	595.000	 G	
01/04/2015	05:45:00	595.007	 G	
01/04/2015	05:50:00	597.004	 G	
